request_id,scenario,request_type,start_ts,end_ts,latency_ms,ttft_ms,prompt_chars,output_chars,max_tokens,status_code,ok,error
9xuy41iblj,short-bursts,completions,1775623317.3009307,1775623317.3020282,1.10,1.10,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
sf6f7low4v,short-bursts,completions,1775623405.5186698,1775623405.5200784,1.41,1.41,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
y4lyk83tql,short-bursts,completions,1775623350.5455647,1775623350.547054,1.49,1.49,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
1r11q7uww5,short-bursts,completions,1775623381.4342682,1775623381.4354534,1.19,1.19,50,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
h25llo3rbx,short-bursts,completions,1775623393.864667,1775623393.8657253,1.06,1.06,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
lgzui1b0z3,short-bursts,completions,1775623355.2194781,1775623355.2208078,1.33,1.33,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
kgtii4fqco,short-bursts,completions,1775623428.5856988,1775623428.5878093,2.11,2.11,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
ykl1cq99ch,short-bursts,completions,1775623327.990606,1775623327.9920614,1.46,1.46,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
pnngh8riec,short-bursts,completions,1775623385.929686,1775623385.9306943,1.01,1.01,50,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
mkygvwoplo,short-bursts,completions,1775623418.9515152,1775623418.9528341,1.32,1.32,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
p6vz41nam1,short-bursts,completions,1775623339.703364,1775623339.704399,1.04,1.04,50,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
celos6zle6,short-bursts,completions,1775623419.1007195,1775623419.1019113,1.19,1.19,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
mdd4v30t9n,short-bursts,completions,1775623313.6127923,1775623313.6137068,0.91,0.91,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
d96qe3rzsj,short-bursts,completions,1775623351.8536537,1775623351.8557212,2.07,2.07,50,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
1at7o75rh8,short-bursts,completions,1775623414.3331819,1775623414.334603,1.42,1.42,203,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
if2gog72oy,short-bursts,completions,1775623331.5270886,1775623331.528259,1.17,1.17,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
brn7zsedfq,short-bursts,completions,1775623389.5153081,1775623389.5166788,1.37,1.37,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
qpki7p5tb9,short-bursts,completions,1775623323.368927,1775623323.3711014,2.17,2.17,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
r6ccvcjwtl,short-bursts,completions,1775623373.3432622,1775623373.3446548,1.39,1.39,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
sp2ex5t5p5,short-bursts,completions,1775623374.116924,1775623374.1183088,1.38,1.38,203,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
yk0x65mufm,short-bursts,completions,1775623385.7696133,1775623385.771067,1.45,1.45,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
4fmyzycwti,short-bursts,completions,1775623316.8970644,1775623316.898156,1.09,1.09,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
a04ux5qrl1,short-bursts,completions,1775623355.0106385,1775623355.0127895,2.15,2.15,203,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
mcikptk93t,short-bursts,completions,1775623328.327863,1775623328.32998,2.12,2.12,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
e0rnujjq9k,short-bursts,completions,1775623396.048904,1775623396.0501204,1.22,1.22,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
b9w1q5uzno,short-bursts,completions,1775623336.7773864,1775623336.7787688,1.38,1.38,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
itn7s55j2o,short-bursts,completions,1775623352.3913627,1775623352.3927736,1.41,1.41,203,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
c1xi04b7p4,short-bursts,completions,1775623414.4051347,1775623414.4071786,2.04,2.04,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
08j3trp0j4,short-bursts,completions,1775623343.429103,1775623343.43043,1.33,1.33,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
zyrru7zkut,short-bursts,completions,1775623410.4037979,1775623410.4052265,1.43,1.43,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
w5uzbikcid,short-bursts,completions,1775623315.716332,1775623315.7172863,0.95,0.95,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
hw06xkxb94,short-bursts,completions,1775623372.9409683,1775623372.9422631,1.29,1.29,50,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
38xrg2gzr7,short-bursts,completions,1775623432.8861835,1775623432.887543,1.36,1.36,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
78bmyymu59,short-bursts,completions,1775623331.2239885,1775623331.225342,1.35,1.35,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
zduxlez896,short-bursts,completions,1775623385.8365197,1775623385.8382988,1.78,1.78,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
uzhr5xff0t,short-bursts,completions,1775623317.619734,1775623317.620893,1.16,1.16,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
va2ieuc1hh,short-bursts,completions,1775623371.6916842,1775623371.6931086,1.42,1.42,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
xs6esj3l0x,short-bursts,completions,1775623418.546478,1775623418.5486715,2.19,2.19,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
026rjrny20,short-bursts,completions,1775623339.8588943,1775623339.8600252,1.13,1.13,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
gyup12spfh,short-bursts,completions,1775623387.9507108,1775623387.952145,1.43,1.43,203,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
c8bbi4wire,short-bursts,completions,1775623342.216896,1775623342.217985,1.09,1.09,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
or7875aud9,short-bursts,completions,1775623414.6298158,1775623414.6310422,1.23,1.23,50,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
atvzkhiuit,short-bursts,completions,1775623431.983594,1775623431.9847736,1.18,1.18,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
2y9v86wzs3,short-bursts,completions,1775623337.5973911,1775623337.599113,1.72,1.72,50,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
v0gyubmxns,short-bursts,completions,1775623428.0423775,1775623428.0437198,1.34,1.34,50,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
d5j60fkhmy,short-bursts,completions,1775623328.4234173,1775623328.4244664,1.05,1.05,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
0nec8uyo57,short-bursts,completions,1775623374.627781,1775623374.6288133,1.03,1.03,50,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
e6sylztgxn,short-bursts,completions,1775623334.356526,1775623334.3575265,1.00,1.00,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
ecgz9389yz,short-bursts,completions,1775623396.2417283,1775623396.2429256,1.20,1.20,203,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
oh9sdbdw2p,short-bursts,completions,1775623319.2510672,1775623319.2524908,1.42,1.42,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
bnz8v12ii8,short-bursts,completions,1775623387.09802,1775623387.0993664,1.35,1.35,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
mmx3y9rgez,short-bursts,completions,1775623393.7688963,1775623393.770254,1.36,1.36,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
u3bbxux1ox,short-bursts,completions,1775623399.9031105,1775623399.9043536,1.24,1.24,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
mo5bxxc02d,short-bursts,completions,1775623322.6497343,1775623322.6507354,1.00,1.00,50,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
hnriuu9k9x,short-bursts,completions,1775623362.917975,1775623362.919328,1.35,1.35,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
uuylajahcp,short-bursts,completions,1775623421.7237911,1775623421.7252614,1.47,1.47,203,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
zdfkblcmpi,short-bursts,completions,1775623360.6708915,1775623360.6722937,1.40,1.40,50,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
lvpymb5m9j,short-bursts,completions,1775623394.972626,1775623394.9740372,1.41,1.41,101,0,24,0,0,"Cannot connect to host localhost:8002 ssl:default [Connect call failed ('127.0.0.1', 8002)]"
